"hour_buckets","placement_id","average_median_ppm1","average_median_2_5","average_median_4","average_median_10","average_iaq_score","average_iaq_accuracy","average_temperature","average_humidity","average_baro_pressure","average_eco2","average_bvoce","average_gas","average_noise_level","max_noise_level","average_maximum_noise_level"
"2022-03-21 14:00:00",60,2.74,3.98,4.61,4.98,0.0,2.0,26.5,19.3,993.3,400.0,0.34,867628.82,45.87,88.04,75.95
"2022-03-21 14:00:00",74,2.0,3.0,3.0,3.37,17.93,1.76,22.15,25.13,992.5,474.58,0.46,191311.38,44.74,99.01,82.83
"2022-03-21 14:00:00",76,1.74,2.74,2.74,3.0,234.17,1.0,24.33,20.25,992.5,1175.35,2.04,157020.06,43.18,105.16,94.29
"2022-03-21 15:00:00",60,3.01,4.68,4.93,5.69,12.06,2.27,26.67,18.84,992.91,449.72,0.42,870204.88,46.26,107.53,76.54
"2022-03-21 15:00:00",74,1.65,2.64,2.64,2.77,60.53,2.78,21.85,25.09,992.1,619.86,0.77,198165.13,43.47,107.42,79.75
"2022-03-21 15:00:00",76,1.62,2.57,2.57,2.67,148.26,2.74,23.76,20.65,992.12,1133.44,2.28,160481.23,42.86,109.25,92.74
"2022-03-21 16:00:00",60,3.14,4.61,4.81,5.27,26.68,1.42,26.76,18.44,992.45,526.17,0.57,738162.64,46.37,108.24,78.0
"2022-03-21 16:00:00",74,2.03,3.07,3.07,3.14,122.86,2.64,22.05,24.08,991.64,1151.88,2.43,186358.17,42.35,109.02,78.36
"2022-03-21 16:00:00",76,1.79,2.79,2.79,2.98,144.74,3.0,23.71,20.53,991.76,1134.8,1.92,159817.25,42.48,107.18,93.01
"2022-03-21 17:00:00",60,1.17,2.12,2.13,2.19,147.17,1.0,26.38,17.94,992.62,796.44,1.15,685423.34,45.08,99.93,76.48
"2022-03-21 17:00:00",74,1.67,2.69,2.69,2.74,187.33,1.0,22.33,22.95,991.85,1093.57,1.88,158143.11,41.84,99.75,78.93
"2022-03-21 18:00:00",60,0.59,1.51,1.51,1.53,84.0,1.0,26.26,18.7,993.05,620.57,0.77,719766.03,45.74,99.26,77.48
"2022-03-21 18:00:00",74,1.03,2.02,2.02,2.02,89.14,2.13,22.09,23.94,992.27,737.64,1.02,173279.97,41.91,105.46,79.28
"2022-03-21 19:00:00",60,0.58,1.51,1.56,1.78,241.39,1.8,26.05,18.96,992.24,1609.62,4.25,578940.34,51.64,101.03,80.93
"2022-03-21 19:00:00",74,0.88,1.84,1.84,1.85,245.38,2.01,22.38,23.65,991.51,1859.58,6.17,132200.2,41.89,99.72,83.73
"2022-03-21 20:00:00",60,0.93,2.1,2.37,3.61,244.53,2.77,26.31,18.61,992.71,1912.31,6.18,538812.28,48.62,102.76,82.53
"2022-03-21 20:00:00",74,0.95,1.95,1.97,2.25,224.67,2.72,22.55,23.33,991.92,2011.35,7.71,124643.21,42.43,99.73,84.28
"2022-03-21 21:00:00",60,1.03,2.4,3.07,5.12,240.79,3.0,26.47,18.38,993.08,1897.09,6.03,534688.77,47.73,101.86,81.81
"2022-03-21 21:00:00",74,1.06,2.48,2.75,4.14,260.18,2.65,22.43,23.41,992.3,2144.45,8.92,124543.07,41.71,100.1,84.74
"2022-03-21 22:00:00",60,1.03,2.72,3.38,5.67,244.83,2.97,26.52,18.45,993.02,1864.84,5.74,528739.5,48.25,98.62,82.41
"2022-03-21 22:00:00",74,1.16,2.65,2.92,4.15,248.46,2.88,22.63,23.17,992.25,2110.81,8.33,124112.5,41.9,99.85,84.7
"2022-03-21 23:00:00",60,1.06,2.43,2.89,4.47,246.39,2.9,26.4,18.47,993.11,1824.98,5.41,527864.3,48.35,98.45,82.69
"2022-03-21 23:00:00",74,1.2,2.65,2.78,4.19,251.45,2.49,22.41,23.49,992.33,2097.3,8.98,123307.45,42.19,99.48,85.9
"2022-03-22 00:00:00",60,1.1,2.41,2.61,3.57,246.2,2.85,26.28,18.55,993.05,1788.8,5.12,525665.44,48.38,100.33,82.8
"2022-03-22 00:00:00",74,1.4,2.7,2.86,3.75,247.42,2.93,22.22,23.72,992.26,2128.36,8.56,123721.56,42.33,107.57,86.66
"2022-03-22 01:00:00",60,1.07,2.37,2.54,3.29,246.55,2.91,26.27,18.53,992.55,1749.76,4.83,524035.54,47.9,99.44,82.34
